Date,Name,Year,Letterboxd URI
2026-01-24,The Pianist,2002,https://boxd.it/2aqc
2026-01-24,Dune: Part Two,2024,https://boxd.it/pUfA
2026-01-24,Good Will Hunting,1997,https://boxd.it/2ahY
2026-01-24,Dead Poets Society,1989,https://boxd.it/2aSg
2026-01-24,No Other Choice,2025,https://boxd.it/nKiA
2026-01-24,Marriage Story,2019,https://boxd.it/hJAw
2026-01-24,Marty Supreme,2025,https://boxd.it/Off0
2026-01-24,Somebody to Love,2025,https://boxd.it/O4LY
2026-01-24,A Different Man,2024,https://boxd.it/BoEC
2026-01-24,There's Still Tomorrow,2023,https://boxd.it/COrw
2026-01-24,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2026-01-24,Midnight in Paris,2011,https://boxd.it/i4a
2026-01-24,Zodiac,2007,https://boxd.it/27MO
2026-01-24,The Da Vinci Code,2006,https://boxd.it/2a3i
2026-01-24,The Notebook,2004,https://boxd.it/1UNE
2026-01-24,Fight Club,1999,https://boxd.it/2a9q
2026-01-24,The Truman Show,1998,https://boxd.it/18U8
2026-01-24,The Devil's Advocate,1997,https://boxd.it/286k
2026-01-24,Point Break,1991,https://boxd.it/2958
2026-01-24,The Godfather Part III,1990,https://boxd.it/2aN6
2026-01-24,The Blues Brothers,1980,https://boxd.it/2adi
2026-01-24,Love and Death,1975,https://boxd.it/1TeS
2026-01-24,Bananas,1971,https://boxd.it/1UbA
2026-01-24,Love Meetings,1964,https://boxd.it/W9Y
2026-01-24,Accattone,1961,https://boxd.it/1RSw
2026-01-24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2026-01-24,He's Just Not That Into You,2009,https://boxd.it/1WSG
2026-01-24,The Matrix,1999,https://boxd.it/2a1m
2026-01-25,Challengers,2024,https://boxd.it/zld0
2026-01-25,Little Women,2019,https://boxd.it/aSVk
2026-02-01,Her,2013,https://boxd.it/4O24
2026-02-02,Persona,1966,https://boxd.it/29B4
2026-02-03,Good Time,2017,https://boxd.it/fcFu
2026-02-03,Wonka,2023,https://boxd.it/tCQm
2026-02-03,Rose Island,2020,https://boxd.it/nBlq
