Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-02,Persona,1966,https://boxd.it/cWIqiV,4.5,,,2026-02-01
2026-05-14,Annie Hall,1977,https://boxd.it/elHfdB,4.5,,,2026-05-13
2026-05-14,Cinema Paradiso,1988,https://boxd.it/elHpp3,5,,,2026-05-13
2026-05-14,Chungking Express,1994,https://boxd.it/elHH0v,5,,,2026-05-13
2026-05-14,Forrest Gump,1994,https://boxd.it/elHRuP,5,,,2026-05-13
2026-05-14,Normal People,2020,https://boxd.it/elIda3,3.5,,,2026-05-13
2026-05-14,A Complete Unknown,2024,https://boxd.it/elIoi3,3.5,,,2026-05-13
