Date,Name,Year,Letterboxd URI,Rating
2026-01-24,The Great Ambition,2024,https://boxd.it/JhxK,3
2026-01-24,Juror #2,2024,https://boxd.it/FRwU,3
2026-01-24,La La Land,2016,https://boxd.it/a5fa,5
2026-01-24,The Matrix,1999,https://boxd.it/2a1m,4
2026-01-24,Django Unchained,2012,https://boxd.it/2cCk,3
2026-01-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2026-01-24,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2026-01-24,Notting Hill,1999,https://boxd.it/2aeK,3.5
2026-01-24,Taxi Driver,1976,https://boxd.it/2b8y,4
2026-01-24,Shutter Island,2010,https://boxd.it/1U82,4
2026-01-24,Zodiac,2007,https://boxd.it/27MO,3.5
2026-02-01,Annie Hall,1977,https://boxd.it/29M2,4.5
2026-02-01,Past Lives,2023,https://boxd.it/oNB8,4
2026-02-01,Marriage Story,2019,https://boxd.it/hJAw,4
2026-02-01,Parasite,2019,https://boxd.it/hTha,4.5
2026-02-01,Beautiful Boy,2018,https://boxd.it/g76Q,4
2026-02-01,Gone Girl,2014,https://boxd.it/6hQu,4.5
2026-02-01,Nightcrawler,2014,https://boxd.it/780m,4
2026-02-01,About Time,2013,https://boxd.it/43bI,3.5
2026-02-01,Love & Other Drugs,2010,https://boxd.it/UIi,2.5
2026-02-01,Midnight in Paris,2011,https://boxd.it/i4a,3.5
2026-02-01,Moonrise Kingdom,2012,https://boxd.it/2Wng,3
2026-02-02,Persona,1966,https://boxd.it/29B4,4.5
2026-02-03,The Hateful Eight,2015,https://boxd.it/8gw8,3
2026-02-03,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2026-02-03,Dune: Part Two,2024,https://boxd.it/pUfA,5
2026-02-03,The Hand of God,2021,https://boxd.it/r5uI,3
2026-02-03,Aftersun,2022,https://boxd.it/Arw0,4
2026-02-03,Black Swan,2010,https://boxd.it/Sw0,3.5
2026-02-03,Inception,2010,https://boxd.it/1skk,4
2026-02-03,Oldboy,2003,https://boxd.it/29R2,4.5
2026-02-03,The Big Lebowski,1998,https://boxd.it/2b6C,4.5
2026-02-03,La Haine,1995,https://boxd.it/2as8,5
2026-02-03,Dead Poets Society,1989,https://boxd.it/2aSg,3.5
2026-02-03,Manhattan,1979,https://boxd.it/29Na,4
2026-02-03,Slap the Monster on Page One,1972,https://boxd.it/2ehy,4
2026-02-03,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2026-02-03,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY,4
2026-02-03,Little Women,2019,https://boxd.it/aSVk,3.5
2026-02-03,"Bianco, rosso e Verdone",1981,https://boxd.it/17xM,3
2026-02-03,The Mission,1986,https://boxd.it/1TTw,4
2026-02-03,Compagni di scuola,1988,https://boxd.it/o9K,3
2026-02-03,Pulp Fiction,1994,https://boxd.it/29Pq,4
2026-02-03,American Psycho,2000,https://boxd.it/28Vs,3
2026-02-03,The Talented Mr. Ripley,1999,https://boxd.it/2924,3.5
2026-02-03,Cast Away,2000,https://boxd.it/20i8,3
2026-02-03,The Hangover,2009,https://boxd.it/1GjK,4
2026-02-03,Captain Fantastic,2016,https://boxd.it/b2K2,2.5
2026-02-03,Yesterday,2019,https://boxd.it/iF7M,1
2026-02-03,Chernobyl,2019,https://boxd.it/mkbG,4
2026-02-06,Martin Eden,2019,https://boxd.it/lqNO,3.5
2026-02-06,Good Time,2017,https://boxd.it/fcFu,4
2026-02-09,Marie Antoinette,2006,https://boxd.it/27Wa,4
2026-02-19,Ghost,1990,https://boxd.it/2aLE,3
2026-02-19,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2026-02-21,Senna,2010,https://boxd.it/kfE,4
2026-03-01,Chungking Express,1994,https://boxd.it/1UDa,5
2026-03-04,Fallen Angels,1995,https://boxd.it/1UkW,4.5
