Date,Name,Year,Letterboxd URI,Rating
2025-04-14,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3.5
2025-04-14,The Menu,2022,https://boxd.it/lScm,3.5
2025-04-15,Blade Runner,1982,https://boxd.it/2bcA,3.5
2025-05-01,Sinners,2025,https://boxd.it/KQMM,2.5
2026-03-01,Funny Games,2007,https://boxd.it/207a,5
2026-03-25,Barry Lyndon,1975,https://boxd.it/25A2,2.5
2026-04-04,The Dirties,2013,https://boxd.it/4ZGa,3
2026-04-04,Paddington,2014,https://boxd.it/3RKw,3.5
2026-04-04,Christopher Robin,2018,https://boxd.it/eSj4,4
2026-04-04,No Country for Old Men,2007,https://boxd.it/21ew,5
2026-04-04,Gone Girl,2014,https://boxd.it/6hQu,4.5
2026-04-04,Good Will Hunting,1997,https://boxd.it/2ahY,4
2026-04-04,The Eight Mountains,2022,https://boxd.it/ufRe,3.5
2026-05-11,The Drama,2026,https://boxd.it/OA2w,4.5
2026-05-13,Sentimental Value,2025,https://boxd.it/GwcG,1
2026-05-13,Eyes Wide Shut,1999,https://boxd.it/2axs,2.5
2026-05-13,Eternity,2025,https://boxd.it/LYtK,2.5
2026-05-13,Beau Is Afraid,2023,https://boxd.it/u2gE,4.5
2026-06-01,Arrival,2016,https://boxd.it/aNGk,2.5
2026-06-01,There's Still Tomorrow,2023,https://boxd.it/COrw,4
2026-06-09,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3
2026-06-10,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,2.5
2026-06-15,Ex Machina,2015,https://boxd.it/7T2k,5
2026-06-15,Marty Supreme,2025,https://boxd.it/Off0,4
2026-06-15,Prisoners,2013,https://boxd.it/4E5i,5
2026-06-15,Shutter Island,2010,https://boxd.it/1U82,4.5
2026-06-22,Parasite,2019,https://boxd.it/hTha,5
2026-06-22,Decision to Leave,2022,https://boxd.it/qp9e,4
2026-06-22,No Other Choice,2025,https://boxd.it/nKiA,3.5
2026-06-22,The Game,1997,https://boxd.it/26vC,3.5
2026-06-22,Magazine Dreams,2023,https://boxd.it/tv1w,4
2026-06-22,Project Hail Mary,2026,https://boxd.it/pEeQ,1.5
2026-06-24,Witness for the Prosecution,1957,https://boxd.it/18H4,4
