Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-03,Charlie and the Chocolate Factory,2005,https://boxd.it/7Xn5Iv,4,,,2024-12-02
2024-12-03,Lady Bird,2017,https://boxd.it/7Xn6hZ,3.5,,,2024-12-02
2024-12-03,Wonka,2023,https://boxd.it/7Xn6st,,,,2024-12-02
2024-12-03,Bones and All,2022,https://boxd.it/7Xn6Dh,1,,,2024-12-02
2024-12-03,Hot Summer Nights,2017,https://boxd.it/7Xn6LF,2,,,2024-12-02
2024-12-03,Little Women,2019,https://boxd.it/7Xn74R,3,,,2024-12-02
2024-12-03,Psycho,1960,https://boxd.it/7Xn7ZN,3.5,,,2024-12-02
2024-12-03,Manchester by the Sea,2016,https://boxd.it/7Xn8jN,2.5,,,2024-12-02
2024-12-03,Marriage Story,2019,https://boxd.it/7Xn8D9,3,,,2024-12-02
2024-12-03,The Killer,2023,https://boxd.it/7Xn95d,3,,,2024-12-02
2024-12-03,Kung Fu Panda,2008,https://boxd.it/7Xn9oT,3.5,,,2024-12-02
2024-12-03,The Father,2020,https://boxd.it/7XnaUB,3.5,,,2024-12-02
2024-12-03,2001: A Space Odyssey,1968,https://boxd.it/7Xncfl,2.5,,,2024-12-02
2024-12-04,Leopardi,2014,https://boxd.it/7YbpDP,3,,,2024-12-04
2025-04-10,Apocalypse Now,1979,https://boxd.it/9mNvFR,1,,,2025-04-09
2025-04-10,The Menu,2022,https://boxd.it/9mNwzb,4,,,2025-04-09
2025-04-10,Mulholland Drive,2001,https://boxd.it/9mNDdB,4,,,2025-04-09
2025-04-10,Margin Call,2011,https://boxd.it/9mNIU1,2.5,,,2025-04-09
2025-04-10,Deep Red,1975,https://boxd.it/9mNKuz,1.5,,,2025-04-09
2025-04-10,Conclave,2024,https://boxd.it/9mNL7r,1.5,,,2025-04-09
2025-04-10,Mystic River,2003,https://boxd.it/9mNLCJ,1,,,2025-04-09
2025-04-10,The Girl with the Dragon Tattoo,2011,https://boxd.it/9mNMoN,3.5,,,2025-04-09
2025-04-10,Panic Room,2002,https://boxd.it/9mNMFT,2,,,2025-04-09
2025-04-10,The Machinist,2004,https://boxd.it/9mNNsL,4,,,2025-04-09
2025-04-10,Memento,2000,https://boxd.it/9mNNF1,4,,,2025-04-09
2025-04-10,Nosferatu,2024,https://boxd.it/9mNOpj,1.5,,,2025-04-09
2025-04-10,In the Mood for Love,2000,https://boxd.it/9mNPHX,4.5,,,2025-04-09
2025-04-10,Oldboy,2003,https://boxd.it/9mNQ2r,4,,,2025-04-09
2025-04-11,The Perks of Being a Wallflower,2012,https://boxd.it/9ndaCf,5,,,2025-04-10
2025-04-11,The House That Jack Built,2018,https://boxd.it/9nuBy9,,,,2025-04-11
2025-04-15,Blade Runner,1982,https://boxd.it/9pBBNb,3.5,,,2025-04-14
2026-03-01,Marty Supreme,2025,https://boxd.it/dl8jsn,4,,,2026-02-28
2026-03-01,Sentimental Value,2025,https://boxd.it/dl8kwF,2,,,2026-02-28
2026-03-01,Funny Games,2007,https://boxd.it/dl8lyn,5,,,2026-02-28
2026-03-25,Project Hail Mary,2026,https://boxd.it/dF7bNb,1.5,,,2026-03-24
2026-03-25,Barry Lyndon,1975,https://boxd.it/dF7cnj,2.5,Yes,,2026-03-24
2026-03-25,The Dirties,2013,https://boxd.it/dF7dvX,3.5,,,2026-03-24
2026-04-04,Paddington,2014,https://boxd.it/dP3aW9,4,,,2026-04-04
2026-04-04,Christopher Robin,2018,https://boxd.it/dP3fY5,4,,,2026-04-04
2026-05-13,Sentimental Value,2025,https://boxd.it/ekMS7D,1.5,Yes,,2026-05-12
2026-05-13,Sinners,2025,https://boxd.it/ekMUFd,2.5,Yes,,2026-05-12
2026-05-13,The Drama,2026,https://boxd.it/ekMYfN,4.5,Yes,,2026-05-12
2026-05-13,Eyes Wide Shut,1999,https://boxd.it/ekNgZp,2.5,,,2026-05-12
2026-05-13,Beau Is Afraid,2023,https://boxd.it/ekNyhb,4.5,,,2026-05-12
2026-06-01,Arrival,2016,https://boxd.it/eAvLMJ,2.5,,,2026-05-31
2026-06-01,There's Still Tomorrow,2023,https://boxd.it/eAwqyj,4,,,2026-05-31
2026-06-09,Kill Bill: Vol. 1,2003,https://boxd.it/eIcz5H,3,,,2026-06-08
2026-06-10,Kill Bill: Vol. 2,2004,https://boxd.it/eINf65,2.5,,,2026-06-09
2026-06-15,Ex Machina,2015,https://boxd.it/eMU7VJ,5,,,2026-06-14
2026-06-15,Prisoners,2013,https://boxd.it/eNo9p1,5,,,2026-06-14
2026-06-22,Decision to Leave,2022,https://boxd.it/eTpUjF,4,,,2026-06-22
2026-06-22,No Other Choice,2025,https://boxd.it/eTpXf7,3.5,,,2026-06-22
2026-06-22,The Game,1997,https://boxd.it/eTqiUb,3.5,,,2026-06-22
2026-06-22,Magazine Dreams,2023,https://boxd.it/eTrRgn,4,,,2026-06-22
