Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-23,Prisoners,2013,https://boxd.it/52pgT5,3.5,,,2023-10-22
2025-05-02,Sinners,2025,https://boxd.it/9ztrEH,2.5,,,2025-05-01
2026-03-25,Barry Lyndon,1975,https://boxd.it/dF7axL,2.5,,,2026-03-24
2026-05-07,Eyes Wide Shut,1999,https://boxd.it/egCaht,3,,,2026-05-07
2026-05-11,The Drama,2026,https://boxd.it/ejBfUF,4.5,,,2026-05-10
2026-05-11,The Drama,2026,https://boxd.it/ejHVHF,4.5,Yes,,2026-05-11
2026-05-13,Marty Supreme,2025,https://boxd.it/ekMJ1L,4.5,Yes,,2026-05-12
2026-05-13,Triangle of Sadness,2022,https://boxd.it/ekNoyV,4.5,Yes,,2026-05-12
2026-06-22,Marty Supreme,2025,https://boxd.it/eTrls7,4,Yes,,2026-06-22
