film,beap2,bigguccisosa777,difference
Arrival (2016),3.0,3.0,0.0
Il Divo (2008),3.5,3.5,0.0
Il Sorpasso (1962),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
Marty Supreme (2025),4.5,4.5,0.0
No Other Choice (2025),4.0,4.0,0.0
One Battle After Another (2025),4.5,4.5,0.0
Parthenope (2024),1.0,1.0,0.0
The Hand of God (2021),3.0,3.0,0.0
Up (2009),4.0,4.0,0.0
