film,beap2,faustozampa,difference
Catch Me If You Can (2002),4.5,4.5,0.0
Forrest Gump (1994),5.0,5.0,0.0
Gone Girl (2014),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
La La Land (2016),5.0,5.0,0.0
Prisoners (2013),5.0,5.0,0.0
The Social Network (2010),5.0,5.0,0.0
Interstellar (2014),4.5,5.0,0.5
Parasite (2019),4.5,5.0,0.5
Uncut Gems (2019),4.5,5.0,0.5
