film,beap2,bigguccisosa777,difference
Parthenope (2024),1.0,1.0,0.0
Barbie (2023),2.0,1.5,0.5
Saltburn (2023),2.5,2.0,0.5
Wonka (2023),2.0,1.0,1.0
