pair,common rated films,mean abs diff,median abs diff,% exactly equal,% within 0.5,strong disagreements
bigguccisosa777 / will22,80,0.56875,0.5,31.25,71.25,2
beap2 / faustozampa,65,0.6923076923076923,0.5,23.076923076923077,61.53846153846154,5
beap2 / will22,59,0.711864406779661,0.5,20.33898305084746,52.54237288135594,3
beap2 / bigguccisosa777,59,0.7542372881355932,0.5,16.94915254237288,52.54237288135594,4
bigguccisosa777 / faustozampa,46,1.0108695652173914,0.5,19.565217391304348,54.347826086956516,9
faustozampa / will22,39,1.2692307692307692,1.0,12.82051282051282,38.46153846153847,10
