film,beap2,will22,difference
Annie Hall (1977),4.5,4.5,0.0
Il Sorpasso (1962),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
Oldboy (2003),4.5,4.5,0.0
The Godfather (1972),5.0,5.0,0.0
The Godfather Part II (1974),5.0,5.0,0.0
Blade Runner (1982),4.5,5.0,0.5
La La Land (2016),5.0,4.5,0.5
Mulholland Drive (2001),4.5,5.0,0.5
Once Upon a Time in America (1984),5.0,4.5,0.5
