film,beap2,will22,difference
Annie Hall (1977),4.5,4.5,0.0
Barbie (2023),2.0,2.0,0.0
Gran Torino (2008),4.0,4.0,0.0
Il Sorpasso (1962),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
Inception (2010),4.0,4.0,0.0
Oldboy (2003),4.5,4.5,0.0
Shutter Island (2010),4.0,4.0,0.0
The Godfather (1972),5.0,5.0,0.0
The Godfather Part II (1974),5.0,5.0,0.0
