film,beap2,faustozampa,difference
(500) Days of Summer (2009),3.5,3.5,0.0
Black Swan (2010),3.5,3.5,0.0
Catch Me If You Can (2002),4.5,4.5,0.0
Challengers (2024),4.0,4.0,0.0
Decision to Leave (2022),4.0,4.0,0.0
Eternal Sunshine of the Spotless Mind (2004),4.0,4.0,0.0
Forrest Gump (1994),5.0,5.0,0.0
Gone Girl (2014),4.5,4.5,0.0
Good Will Hunting (1997),4.0,4.0,0.0
In the Mood for Love (2000),4.5,4.5,0.0
