film,beap2,bigguccisosa777,difference
Il Sorpasso (1962),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
Marty Supreme (2025),4.5,4.5,0.0
One Battle After Another (2025),4.5,4.5,0.0
Blade Runner (1982),4.5,5.0,0.5
Eyes Wide Shut (1999),4.5,5.0,0.5
