film,bigguccisosa777,will22,difference
Cosmopolis (2012),2.0,2.0,0.0
Wuthering Heights (2026),1.5,1.5,0.0
Barbie (2023),1.5,2.0,0.5
F1 (2025),2.0,2.5,0.5
