film,bigguccisosa777,faustozampa,difference
Anora (2024),3.0,3.0,0.0
In the Mood for Love (2000),4.5,4.5,0.0
Memento (2000),4.0,4.0,0.0
Mulholland Drive (2001),3.5,3.5,0.0
Nocturnal Animals (2016),4.5,4.5,0.0
Oldboy (2003),4.0,4.0,0.0
Se7en (1995),5.0,5.0,0.0
The Game (1997),3.5,3.5,0.0
The Wolf of Wall Street (2013),5.0,5.0,0.0
