film,bigguccisosa777,will22,difference
2001: A Space Odyssey (1968),5.0,5.0,0.0
Back to the Future (1985),4.5,4.5,0.0
Blade Runner (1982),5.0,5.0,0.0
GoodFellas (1990),5.0,5.0,0.0
Il Sorpasso (1962),4.5,4.5,0.0
In the Mood for Love (2000),4.5,4.5,0.0
L.A. Confidential (1997),4.5,4.5,0.0
Lost in Translation (2003),4.5,4.5,0.0
The Substance (2024),4.5,4.5,0.0
Vertigo (1958),5.0,5.0,0.0
