Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-03-13,Punch-Drunk Love,2002,https://boxd.it/duNGGP,4,,Adam Sandler autistico > Daniel Day-Lewis petroliere,,2026-03-12
2026-04-17,The Thing,1982,https://boxd.it/e09MXP,5,,Fanculo la CGI,,2026-04-16
2026-05-11,Resurrection,2025,https://boxd.it/ejY19V,3,,Un misto tra Paprika e Holy Motors. Tutto fin troppo strano anche se visivamente è incredibile,,2026-05-11
