Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-03-17,The King's Speech,2010,https://boxd.it/64cbYT,2,,,2024-03-16
2024-03-18,The Gentlemen,2019,https://boxd.it/64RYm7,3.5,,,2024-03-18
2024-03-19,Babylon,2022,https://boxd.it/65g2mj,4,,,2024-03-18
2024-03-19,Wendell & Wild,2022,https://boxd.it/65k9cj,1.5,,,2024-03-19
2024-03-21,Ichi the Killer,2001,https://boxd.it/66a0Td,2,,,2024-03-21
2024-03-24,Killers of the Flower Moon,2023,https://boxd.it/67lXLX,3.5,,,2024-03-23
2024-03-25,Kung Fu Panda 4,2024,https://boxd.it/67W05x,3,,,2024-03-24
2024-03-27,Road House,2024,https://boxd.it/68VVFf,2,,,2024-03-27
2024-04-07,Dune: Part Two,2024,https://boxd.it/6e4xPt,3,,,2024-04-07
2024-04-09,12 Angry Men,1957,https://boxd.it/6f255H,4,,,2024-04-09
2024-04-14,American Hustle,2013,https://boxd.it/6gHjrt,3,,,2024-04-13
2024-04-15,Carlito's Way,1993,https://boxd.it/6hnrQ1,3.5,,,2024-04-15
2024-04-16,Demolition,2015,https://boxd.it/6hFSwt,3.5,,,2024-04-15
2024-04-16,Rise of the Guardians,2012,https://boxd.it/6hNYit,3,,,2024-04-16
2024-04-17,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/6i9EwT,4,,,2024-04-17
2024-05-05,Barbie,2023,https://boxd.it/6ps8tT,1.5,,,2024-05-05
2024-05-14,The Pursuit of Happyness,2006,https://boxd.it/6tnKnl,4,,,2024-05-14
2024-05-17,Blow Out,1981,https://boxd.it/6ucubb,3.5,,,2024-05-16
2024-05-17,After Hours,1985,https://boxd.it/6ufpX1,4,,,2024-05-17
2024-05-18,The Fighter,2010,https://boxd.it/6uAVtp,4.5,,,2024-05-18
2024-05-22,Citizen Kane,1941,https://boxd.it/6wjnMr,4,,,2024-05-22
2024-05-24,Lost in Translation,2003,https://boxd.it/6x507h,4.5,,,2024-05-24
2024-05-26,The Game,1997,https://boxd.it/6xPO6F,4,,,2024-05-25
2024-05-27,Fargo,1996,https://boxd.it/6ynNYT,3,,,2024-05-27
2024-06-08,Wonka,2023,https://boxd.it/6D4iXx,2.5,,,2024-06-07
2024-06-08,Green Book,2018,https://boxd.it/6D4jKf,3.5,,,2024-06-07
2024-06-08,Seven Samurai,1954,https://boxd.it/6D4kih,4,,,2024-06-07
2024-06-08,Bad Boys,1995,https://boxd.it/6D4lLp,3.5,,,2024-06-07
2024-06-08,Gone Girl,2014,https://boxd.it/6D4m2v,3.5,,,2024-06-07
2024-06-08,Aquaman and the Lost Kingdom,2023,https://boxd.it/6D4mTJ,1,,,2024-06-07
2024-06-12,Inside Man,2006,https://boxd.it/6EXvpH,3,,,2024-06-12
2024-06-29,Natale sul Nilo,2002,https://boxd.it/6LxbSv,3.5,,,2024-06-29
2024-06-30,Natale in India,2003,https://boxd.it/6LUuwf,2,,,2024-06-29
2024-07-01,Natale a Rio,2008,https://boxd.it/6MoyZ1,3.5,,,2024-07-01
2024-07-02,Natale in crociera,2007,https://boxd.it/6MMhyP,2.5,,,2024-07-01
2024-07-03,Mary and Max,2009,https://boxd.it/6NcDBD,3,,,2024-07-02
2024-07-13,Talcum Powder,1982,https://boxd.it/6RObYB,3,,,2024-07-13
2024-07-20,Christmas Holidays,1983,https://boxd.it/6UBaLx,1.5,,,2024-07-19
2024-07-31,The Traitor,2019,https://boxd.it/6ZMXiV,4,,,2024-07-30
2024-08-03,Arcadian,2024,https://boxd.it/713IZN,1,,,2024-08-03
2024-08-04,Asteroid City,2023,https://boxd.it/71wgYl,3.5,,,2024-08-04
2024-08-06,Bad Boys II,2003,https://boxd.it/72sm79,3.5,,,2024-08-06
2024-08-07,Triangle of Sadness,2022,https://boxd.it/72S3fl,4,,,2024-08-07
2024-08-09,Source Code,2011,https://boxd.it/73DOD9,4.5,,,2024-08-08
2024-08-11,Vacanze ai Caraibi - Il film di Natale,2015,https://boxd.it/74sPVb,1.5,,,2024-08-10
2024-08-12,Money Shot: The Pornhub Story,2023,https://boxd.it/74Oadr,1.5,,,2024-08-11
2024-08-12,Taste of the Sea,1983,https://boxd.it/754IBz,3,,,2024-08-12
2024-08-13,The Goonies,1985,https://boxd.it/75tEeL,3,,,2024-08-12
2024-08-14,Tropic Thunder,2008,https://boxd.it/75VviF,4,,,2024-08-14
2024-08-15,Dorohedoro,2020,https://boxd.it/76fm7j,3,,,2024-08-14
2024-08-15,Moonrise Kingdom,2012,https://boxd.it/76i64p,3.5,,,2024-08-14
2024-08-16,I Can Quit Whenever I Want 3: Ad Honorem,2017,https://boxd.it/76M6Hr,3.5,,,2024-08-16
2024-08-24,Batman Begins,2005,https://boxd.it/7ahUMF,4,,,2024-08-23
2024-08-24,Malcolm X,1992,https://boxd.it/7at1HJ,4.5,,,2024-08-24
2024-08-25,Ping Pong the Animation,2014,https://boxd.it/7b0RcT,4.5,,,2024-08-25
2024-08-29,Toy Story 3,2010,https://boxd.it/7cR6aV,4,,,2024-08-28
2024-09-01,John Wick: Chapter 4,2023,https://boxd.it/7ebeQp,0.5,,,2024-08-31
2024-09-02,The Emperor's New Groove,2000,https://boxd.it/7eK7K5,4,,,2024-09-02
2024-09-04,Ralph Breaks the Internet,2018,https://boxd.it/7fIOZR,3,,,2024-09-04
2024-09-05,Sarò con te,2024,https://boxd.it/7g4gRD,4,,,2024-09-04
2024-09-06,Compagni di scuola,1988,https://boxd.it/7gxkdb,4,,,2024-09-06
2024-09-08,Vertigo,1958,https://boxd.it/7hnBr9,5,,,2024-09-07
2024-09-14,The Killing,1956,https://boxd.it/7k0Dlj,3.5,,,2024-09-14
2024-09-24,Il Sorpasso,1962,https://boxd.it/7ozJ0d,4.5,,,2024-09-23
2024-09-26,Who Framed Roger Rabbit,1988,https://boxd.it/7plydL,3.5,,,2024-09-25
2024-09-27,Steins;Gate,2011,https://boxd.it/7pCMgN,3.5,,,2024-09-26
2024-09-28,Dog Day Afternoon,1975,https://boxd.it/7q7O6R,4,,,2024-09-27
2024-09-29,Rear Window,1954,https://boxd.it/7qAxOF,3,,,2024-09-28
2024-10-08,The Marquis of Grillo,1981,https://boxd.it/7uRbCx,4,,,2024-10-07
2024-10-08,Horse Fever,1976,https://boxd.it/7v0byN,3.5,,,2024-10-07
2024-10-09,Serpico,1973,https://boxd.it/7vsM9L,4,,,2024-10-08
2024-10-12,Berserk,1997,https://boxd.it/7wM3oZ,5,,,2024-10-12
2024-10-20,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/7AQ4mz,4.5,,,2024-10-19
2024-10-26,Lucy,2014,https://boxd.it/7DWpeF,3,,,2024-10-26
2024-11-01,The Substance,2024,https://boxd.it/7HfSOn,4,,,2024-11-01
2024-11-03,Night of the Living Dead,1968,https://boxd.it/7Ih7u9,4,,,2024-11-02
2024-11-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/7In3wn,2.5,,,2024-11-03
2024-11-05,An American in Rome,1954,https://boxd.it/7JsPS1,3,,,2024-11-04
2024-11-12,L.A. Confidential,1997,https://boxd.it/7MV1Hn,4.5,,,2024-11-11
2024-11-13,Terrifier 3,2024,https://boxd.it/7NrmvL,2.5,,,2024-11-13
2024-11-17,The Wild Robot,2024,https://boxd.it/7PhjQf,3.5,,,2024-11-17
2024-11-19,Nocturnal Animals,2016,https://boxd.it/7QoIfh,4.5,,,2024-11-18
2024-11-22,Glengarry Glen Ross,1992,https://boxd.it/7RKWyv,4,,,2024-11-21
2024-11-23,Il Divo,2008,https://boxd.it/7ScNfF,3,,,2024-11-22
2024-11-25,Terrifier 2,2022,https://boxd.it/7TaPgP,2,,,2024-11-24
2024-11-25,Grown Ups,2010,https://boxd.it/7TaRth,4.5,,,2024-11-24
2024-11-26,Chinatown,1974,https://boxd.it/7TW1eF,3,,,2024-11-25
