Date,Name,Year,Letterboxd URI,Rating
2025-01-09,The Untouchables,1987,https://boxd.it/2b6i,4
2025-01-09,Do the Right Thing,1989,https://boxd.it/29gA,4
2025-01-12,The Marquis of Grillo,1981,https://boxd.it/1h5y,4
2025-01-12,The Batman,2022,https://boxd.it/eDGs,3.5
2025-01-13,The Hateful Eight,2015,https://boxd.it/8gw8,3.5
2025-01-13,Fight Club,1999,https://boxd.it/2a9q,4
2025-01-13,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,0.5
2025-01-13,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,2.5
2025-01-13,Inside Out,2015,https://boxd.it/4KHC,4
2025-01-13,Rush,2013,https://boxd.it/3lyS,3
2025-01-13,True Grit,2010,https://boxd.it/Sog,2.5
2025-01-13,Howl's Moving Castle,2004,https://boxd.it/23De,4.5
2025-01-13,Ghostbusters,1984,https://boxd.it/g2w,2.5
2025-01-13,Three Men and a Leg,1997,https://boxd.it/16lg,3
2025-01-13,Batman Returns,1992,https://boxd.it/2awa,3.5
2025-01-13,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2025-01-13,Captain Fantastic,2016,https://boxd.it/b2K2,3.5
2025-01-13,Pleasantville,1998,https://boxd.it/26uY,4.5
2025-01-13,The Searchers,1956,https://boxd.it/25HC,4
2025-01-13,Se7en,1995,https://boxd.it/29zs,4
2025-01-14,Airplane!,1980,https://boxd.it/29yu,4
2025-01-16,An American in Rome,1954,https://boxd.it/UQG,3
2025-01-16,Oppenheimer,2023,https://boxd.it/wUow,4
2025-01-16,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2025-01-16,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,3.5
2025-01-16,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa,5
2025-01-18,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2025-01-18,Mank,2020,https://boxd.it/mIuC,3
2025-01-19,The Fabelmans,2022,https://boxd.it/ugoM,3.5
2025-01-24,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,5
2025-01-29,Ted,2012,https://boxd.it/2pgc,3.5
2025-02-04,Top Gun,1986,https://boxd.it/29JC,2
2025-02-05,The Birds,1963,https://boxd.it/2a6m,4
2025-02-07,Strangers on a Train,1951,https://boxd.it/29tk,5
2025-02-12,Sergio Leone: The Italian Who Invented America,2022,https://boxd.it/BZLq,4
2025-02-13,Mystic River,2003,https://boxd.it/2aAG,5
2025-02-13,Horse Fever,1976,https://boxd.it/15Om,3.5
2025-02-14,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2025-02-16,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2025-02-18,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-02-18,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2025-02-19,Son of Saul,2015,https://boxd.it/b6r4,3.5
2025-02-19,Asteroid City,2023,https://boxd.it/s3ds,3
2025-02-19,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2
2025-02-19,Spider-Man: Homecoming,2017,https://boxd.it/aboM,1.5
2025-02-19,Prey,2021,https://boxd.it/wesm,1
2025-02-19,Thunderbolt and Lightfoot,1974,https://boxd.it/20jK,3.5
2025-02-21,Be Sick… It's Free,1968,https://boxd.it/kXm,4
2025-02-21,Being John Malkovich,1999,https://boxd.it/2ahu,4.5
2025-02-21,The Goonies,1985,https://boxd.it/1YVC,3.5
2025-02-22,The Wrong Man,1956,https://boxd.it/1AqK,4
2025-02-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4
2025-02-27,Dial M for Murder,1954,https://boxd.it/2adW,5
2025-02-28,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2025-03-02,"Duck, You Sucker",1971,https://boxd.it/2ayU,4.5
2025-03-28,eXistenZ,1999,https://boxd.it/27Ni,5
2025-03-28,Cosmopolis,2012,https://boxd.it/H4O,2
2025-04-02,The Boy and the Heron,2023,https://boxd.it/ipeM,4.5
2025-04-02,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,4.5
2025-04-03,Heat,1995,https://boxd.it/2bg8,4.5
2025-04-03,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2025-04-03,Akira,1988,https://boxd.it/2b1i,4.5
2025-04-03,Dog Day Afternoon,1975,https://boxd.it/29bg,4.5
2025-04-03,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2025-04-03,Once Upon a Time in America,1984,https://boxd.it/2aCs,4.5
2025-04-03,The Deer Hunter,1978,https://boxd.it/1T6O,4.5
2025-04-03,Amarcord,1973,https://boxd.it/20NA,4.5
